Model,URL
HL-L2321D,https://phongvu.vn/may-in-laser-trang-den-brother-hl-l2321d--s1404531
HL-L2361DN,https://phongvu.vn/may-in-brother-hl-l2361dn--s1403955
HL-L2366DW,https://phongvu.vn/may-in-brother-hl-l2366dw--s1404607
DCP-L2520D,https://phongvu.vn/may-in-laser-trang-den-brother-dcp-l2520d--s1602364
DCP-B7535DW,https://phongvu.vn/may-in-brother-dcp-b7535dw--s18120286
MFC-L2701D,https://phongvu.vn/may-in-brother-mfc-l2701d--s1500335
MFC-L2701DW,https://phongvu.vn/may-in-brother-mfc-l2701dw--s1500457
HL-L5100DN,https://phongvu.vn/may-in-brother-hl-l5100dn--s1603551
MFC-L5700,notfound
MFC-L5900,notfound
HL-L6200D,notfound
MFC-L6900,notfound
HL-L8260C,notfound
HL-L8360CDW,https://phongvu.vn/may-in-brother-hl-l8360cdw--s1702781
HL-L8690C,notfound
DCP-T220,https://phongvu.vn/may-in-brother-dcp-t220--s210400364
DCP-T520W,https://phongvu.vn/may-in-brother-dcp-t520w--s210400361
DCP-T720DW,https://phongvu.vn/may-in-brother-dcp-t720dw--s210400365
ADS-2400N,notfound
PT-E550W,notfound
JA1400,notfound
GS2700,notfound